Temperature,Pressure,Humidity,Gas Content,PM2.5,PM10,AQI
24.49,1019.43,43.32,250.00,11.00,29
24.52,1019.39,43.30,240.00,15.00,32
24.53,1019.41,43.29,200.00,15.00,28
24.54,1019.41,43.25,218.00,10.00,24
24.55,1019.41,43.24,224.00,14.00,32
24.56,1019.41,43.22,201.00,15.00,31
24.57,1019.39,43.19,219.00,14.00,30
24.58,1019.39,43.17,230.00,13.00,29
24.59,1019.41,43.15,213.00,15.00,30
24.60,1019.42,43.21,237.00,10.00,25
24.62,1019.41,43.45,226.00,11.00,25
24.61,1019.40,43.49,201.00,12.00,30
24.61,1019.42,43.62,209.00,11.00,28
24.62,1019.40,43.79,246.00,12.00,26
24.63,1019.40,43.74,226.00,10.00,24
24.64,1019.44,43.54,243.00,14.00,28
24.64,1019.43,43.41,209.00,15.00,27
24.65,1019.41,43.31,212.00,11.00,26
24.66,1019.41,43.24,228.00,11.00,25
24.67,1019.43,43.20,236.00,11.00,27
24.65,1019.45,43.18,218.00,11.00,29
24.64,1019.43,43.13,233.00,10.00,27
24.64,1019.41,43.12,213.00,13.00,27
24.63,1019.43,43.11,205.00,14.00,26
24.64,1019.43,43.10,224.00,11.00,27
24.64,1019.45,43.10,250.00,15.00,30
24.64,1019.42,43.11,246.00,13.00,27
24.64,1019.41,43.11,243.00,15.00,31
24.64,1019.41,43.09,236.00,14.00,29
24.63,1019.40,43.04,210.00,11.00,24
24.63,1019.39,43.00,230.00,14.00,32
24.62,1019.42,42.98,246.00,10.00,24
24.63,1019.41,42.98,242.00,11.00,29
24.63,1019.43,43.00,232.00,11.00,29
24.64,1019.42,43.03,233.00,10.00,27
24.63,1019.41,43.07,223.00,11.00,26
24.63,1019.43,43.08,227.00,15.00,28
24.63,1019.39,43.09,225.00,12.00,26
24.63,1019.37,43.09,236.00,15.00,32
24.63,1019.39,43.08,226.00,10.00,27
24.65,1019.37,43.07,201.00,15.00,27
24.66,1019.43,43.04,213.00,12.00,29
24.65,1019.42,43.15,240.00,13.00,30
24.67,1019.42,43.14,218.00,10.00,24
24.69,1019.42,43.23,213.00,13.00,26
24.71,1019.39,43.48,233.00,14.00,27
24.73,1019.40,43.65,208.00,12.00,27
24.74,1019.41,43.57,250.00,14.00,28
24.75,1019.38,43.35,233.00,12.00,26
24.75,1019.42,43.27,242.00,11.00,27
24.75,1019.43,43.22,208.00,13.00,31
24.75,1019.41,43.14,206.00,12.00,28
24.75,1019.41,43.10,218.00,13.00,26
24.75,1019.43,43.07,215.00,15.00,31
24.73,1019.38,43.03,212.00,12.00,25
24.73,1019.38,43.03,229.00,10.00,23
24.73,1019.38,43.04,235.00,13.00,31
24.72,1019.39,43.04,214.00,15.00,27
24.73,1019.38,43.03,244.00,11.00,24
24.73,1019.40,43.03,229.00,14.00,32
24.73,1019.39,43.01,237.00,14.00,31
24.73,1019.39,43.01,224.00,11.00,25
24.73,1019.37,42.99,222.00,10.00,28
24.73,1019.39,42.99,239.00,11.00,28
24.73,1019.42,42.98,250.00,12.00,26
24.73,1019.40,42.98,221.00,15.00,29
24.74,1019.40,42.97,204.00,15.00,29
24.75,1019.37,42.96,249.00,10.00,26
24.75,1019.35,42.95,249.00,15.00,33
24.75,1019.38,42.94,218.00,12.00,30
24.76,1019.38,42.92,223.00,13.00,26
24.77,1019.38,42.91,240.00,14.00,27
24.78,1019.39,42.89,204.00,12.00,29
24.78,1019.36,42.89,202.00,15.00,27
24.77,1019.33,42.89,248.00,12.00,29
24.78,1019.36,42.88,210.00,14.00,30
24.79,1019.38,42.86,247.00,13.00,27
24.79,1019.35,42.84,239.00,12.00,26
24.80,1019.37,42.82,204.00,14.00,27
24.80,1019.39,42.82,224.00,10.00,27
24.80,1019.38,42.80,211.00,11.00,26
24.81,1019.35,42.79,221.00,13.00,29
24.82,1019.41,42.78,234.00,12.00,26
24.83,1019.38,42.77,236.00,10.00,27
24.83,1019.35,42.76,229.00,15.00,31
24.83,1019.34,42.76,236.00,10.00,27
24.83,1019.36,42.76,225.00,13.00,31
24.82,1019.36,42.75,213.00,14.00,28
24.84,1019.38,42.74,242.00,10.00,25
24.84,1019.37,42.73,225.00,14.00,31
24.84,1019.37,42.73,228.00,10.00,25
24.85,1019.41,42.69,218.00,14.00,30
24.86,1019.43,42.68,209.00,14.00,28
24.86,1019.42,42.67,207.00,11.00,27
24.86,1019.37,42.66,206.00,14.00,26
24.85,1019.37,42.67,233.00,15.00,33
24.84,1019.38,42.68,225.00,11.00,29
24.84,1019.39,42.68,248.00,15.00,30
24.84,1019.37,42.68,228.00,14.00,31
24.84,1019.39,42.68,232.00,12.00,30
24.83,1019.41,42.67,229.00,12.00,30
24.83,1019.42,42.66,206.00,12.00,27
24.83,1019.42,42.68,238.00,14.00,31
24.82,1019.41,42.69,229.00,12.00,27
24.82,1019.42,42.70,243.00,14.00,27
24.82,1019.40,42.71,230.00,10.00,28
24.82,1019.39,42.72,219.00,15.00,31
24.82,1019.39,42.71,232.00,12.00,26
24.83,1019.40,42.71,237.00,12.00,30
24.82,1019.40,42.76,217.00,12.00,26
24.82,1019.41,42.79,207.00,14.00,30
24.82,1019.42,42.82,208.00,11.00,28
24.83,1019.43,42.79,234.00,14.00,27
24.82,1019.42,42.77,211.00,14.00,26
24.82,1019.40,42.76,219.00,13.00,28
24.82,1019.40,42.75,242.00,13.00,31
24.81,1019.43,42.71,213.00,13.00,29
24.81,1019.41,42.64,214.00,10.00,26
24.80,1019.38,42.60,227.00,10.00,24
24.81,1019.42,42.59,240.00,13.00,28
24.80,1019.42,42.56,210.00,14.00,30
24.79,1019.43,42.56,231.00,15.00,33
24.78,1019.40,42.56,200.00,11.00,24
24.78,1019.40,42.54,236.00,12.00,25
24.78,1019.40,42.50,235.00,12.00,25
24.77,1019.39,42.49,213.00,15.00,29
24.77,1019.40,42.50,250.00,11.00,29
24.77,1019.43,42.52,221.00,11.00,24
24.76,1019.40,42.59,226.00,12.00,30
24.75,1019.40,42.65,204.00,10.00,26
24.76,1019.39,42.67,226.00,13.00,26
24.78,1019.41,42.68,229.00,13.00,29
24.77,1019.41,42.69,244.00,12.00,27
24.76,1019.40,42.70,226.00,12.00,26
24.77,1019.42,42.71,240.00,12.00,28
24.77,1019.43,42.71,203.00,14.00,29
24.77,1019.41,42.73,240.00,14.00,28
24.78,1019.40,42.73,232.00,14.00,28
24.78,1019.43,42.73,236.00,15.00,32
